tweet_id,airline_sentiment,is_reply,reply_count,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,index1,text_extended,text_extended_final
942743012337123328,positive,False,0,0,"""Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos"" by El País via Últimas noticias… https://t.co/80Fz6dxP9t",,2017-12-18 13:07:00,,Dublin,942743012337123328,"""Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos"" by El País via Últimas noticias | EL PAÍS https://t.co/TzXLNtkzMR","""Los pilotos de Ryanair desconvocan la huelga tras ver reconocidos sus sindicatos"" by El País via Últimas noticias | EL PAÍS https://t.co/TzXLNtkzMR"
926857871916183553,positive,True,0,0,"@Iberia @lavecinarubia Si ,por favor las declaraciones de amor entre los  #rubijarena no  pueden quedarse en una ma… https://t.co/GWKJGhhubY",,2017-04-11 17:05:00,,,926857871916183553,"@Iberia @lavecinarubia Si ,por favor las declaraciones de amor entre los  #rubijarena no  pueden quedarse en una maleta . #cuandooigoqueJonledicevecinita ??","@Iberia @lavecinarubia Si ,por favor las declaraciones de amor entre los  #rubijarena no  pueden quedarse en una maleta . #cuandooigoqueJonledicevecinita ??"
936979305720090626,neutral,True,0,0,@Iberia Me dirías por favor que costo tiene?,,2017-02-12 15:24:00,,,936979305720090626,@Iberia Me dirías por favor que costo tiene?,@Iberia Me dirías por favor que costo tiene?
943983853802328064,negative,True,0,0,"@SupermanlopezN @Iberia @giroditalia Champion, no vuele más con esos descarados.",,2017-12-21 23:17:00,,Central Time (US & Canada),943983853802328064,"@SupermanlopezN @Iberia @giroditalia Champion, no vuele más con esos descarados.","@SupermanlopezN @Iberia @giroditalia Champion, no vuele más con esos descarados."
938207464457211904,negative,True,0,0,@SrtaFarrellDM @KLM @Iberia Eso de avianca es verdad a mi mama le paso dos veces terrible esa aerolínea ?,,2017-06-12 00:44:00,,Eastern Time (US & Canada),938207464457211904,@SrtaFarrellDM @KLM @Iberia Eso de avianca es verdad a mi mama le paso dos veces terrible esa aerolínea ?,@SrtaFarrellDM @KLM @Iberia Eso de avianca es verdad a mi mama le paso dos veces terrible esa aerolínea ?
931526746301714435,neutral,True,0,0,"@Iberia hola, no conozco mi numéro IBERIA PLUS, ellos pueden ayudar? mail ackerm@gmx.de - (tengo el código PIN); gracias",,2017-11-17 14:17:00,,,931526746301714435,ERROR,"@Iberia hola, no conozco mi numéro IBERIA PLUS, ellos pueden ayudar? mail ackerm@gmx.de - (tengo el código PIN); gracias"
933385784228532233,neutral,False,0,0,"El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas, el masmortifero en España en 25… https://t.co/DwDDLA8wT9",,2017-11-22 17:24:00,,,933385784228532233,"El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas, el masmortifero en España en 25 años,  cortesia:    Grupo WhatsApp Emergencias Venezuela  (0426 8305196) https://t.co/kE1sd7QUw1  #AviacionAlDia  #deaviacion #aviacionVenezolana #pilotosdeaviacion","El canal Smithsonian reconstruye en video el accidente aereo de Spanair en Barajas, el masmortifero en España en 25 años,  cortesia:    Grupo WhatsApp Emergencias Venezuela  (0426 8305196) https://t.co/kE1sd7QUw1  #AviacionAlDia  #deaviacion #aviacionVenezolana #pilotosdeaviacion"
932856751099142144,positive,False,0,0,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/z7mnq6ue9X",,2017-11-21 06:22:00,,,932856751099142144,"Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/z7mnq6ue9X","Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaColombia. Hola 79 destinos europeos al mejor precio https://t.co/z7mnq6ue9X"
927623530585509889,negative,True,0,0,"@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901",,2017-06-11 19:47:00,,,927623530585509889,"@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901","@facua Pueden ayudarme con una maleta perdida por iberia? por favor, no hacen nada por buscarla y el telefono de reclamacion es un 901"
930719355704430592,neutral,False,0,0,RT @muchachino: En el sistema de entretenimiento de @iberia se pueden favoritear contenidos lo cuál es útil para h… https://t.co/922T9wNxEW,,2017-11-15 08:49:00,,Karachi,930719355704430592,RT @muchachino: En el sistema de entretenimiento de @iberia se pueden favoritear contenidos lo cuál es útil para h… https://t.co/922T9wNxEW,RT @muchachino: En el sistema de entretenimiento de @iberia se pueden favoritear contenidos lo cuál es útil para h… https://t.co/922T9wNxEW
